unique_id,country,city,airport,phone_number,opening_time,closing_time,main_contact,state
14,China,Xiejiatan,Hotel Yankee Mike November Uniform Lima India Sierra Whiskey Charlie Victor Alfa Foxtrot Quebec,569-5268,"error: invalid date ""08:00""",Maroon,Melanie,ACTIVE
15,China,Yiyang,Echo Uniform Hotel Tango Papa Juliett Golf Charlie Zulu Quebec Sierra Yankee,793-2128,"error: invalid date ""08:00""",Khaki,Frederica,ACTIVE
16,Peru,Curahuasi,Zulu Romeo Whiskey Tango India November Victor Yankee Juliett Foxtrot Bravo X-ray Echo Alfa Papa Hotel Sierra Delta Oscar,147-3479,"error: invalid date ""08:00""",Puce,Rina,ACTIVE
17,Malaysia,Kuala Terengganu,X-ray November Charlie Juliett Tango Victor Yankee Whiskey Zulu Quebec Uniform Hotel Papa Echo Oscar Bravo Sierra,387-3265,"error: invalid date ""08:00""",Turquoise,Charis,ACTIVE
18,United States,Alexandria,Lima Zulu Alfa Mike Tango Delta Golf Victor Yankee Charlie Echo X-ray,984-3512,"error: invalid date ""08:00""",Khaki,Kimberlyn,ACTIVE
19,Ukraine,Zaliztsi,Tango India Romeo Mike Oscar Uniform Sierra Juliett Yankee Victor X-ray Echo Bravo Zulu November Alfa Papa Lima Kilo,219-7971,"error: invalid date ""08:00""",Maroon,Kimbra,ACTIVE
20,Philippines,San Nicolas,Golf Charlie November Echo Zulu Quebec X-ray Juliett Yankee Lima Uniform Hotel Kilo Bravo Tango,767-2888,"error: invalid date ""08:00""",Khaki,Jojo,ACTIVE
21,China,Luofang,Oscar Quebec Papa Sierra Alfa Tango Echo Juliett Whiskey X-ray Kilo Victor Zulu Uniform Delta Foxtrot Charlie Golf,670-1619,"error: invalid date ""08:00""",Turquoise,Reyna,ACTIVE
22,Colombia,El Tambo,X-ray Hotel Kilo Quebec Papa Delta India Golf Yankee Tango Echo Sierra Juliett Foxtrot Alfa Whiskey,879-0042,"error: invalid date ""08:00""",Aquamarine,Merry,ACTIVE
23,Cuba,Yaguajay,Hotel India Echo Juliett Foxtrot Golf Victor November Charlie Delta Oscar Tango Alfa Whiskey X-ray Kilo Yankee Bravo Zulu Lima,787-5035,"error: invalid date ""08:00""",Red,Carmine,ACTIVE
24,Thailand,Sukhirin,Echo Romeo Delta Whiskey Victor Uniform Tango Lima Bravo Sierra Oscar Charlie X-ray,746-6618,"error: invalid date ""08:00""",Aquamarine,Marys,ACTIVE
25,United Kingdom,Charlton,Echo Alfa Juliett Kilo Foxtrot X-ray Tango Golf Hotel Charlie Uniform Romeo Sierra Mike Lima Oscar Delta November Victor Zulu,433-2990,"error: invalid date ""08:00""",Crimson,Kristina,ACTIVE
26,China,Baitu,Alfa Hotel Lima November Mike Delta X-ray Juliett Kilo Charlie,869-4572,"error: invalid date ""08:00""",Crimson,Cherilyn,ACTIVE
27,Poland,Miejsce Piastowe,Bravo Zulu X-ray Kilo Sierra Golf Charlie Oscar November Yankee Foxtrot Delta Uniform Quebec Mike Whiskey,485-0230,"error: invalid date ""08:00""",Goldenrod,Ainslee,ACTIVE
28,Finland,Kurikka,Papa X-ray Quebec Foxtrot Oscar India Tango Charlie Echo Bravo Whiskey Mike Victor Hotel Sierra Lima Alfa November Romeo Golf,601-5432,"error: invalid date ""08:00""",Mauv,Pris,ACTIVE
29,China,Shuhong,Lima Oscar Alfa Bravo India Yankee November Foxtrot Sierra Golf Zulu,459-1720,"error: invalid date ""08:00""",Maroon,Berrie,ACTIVE
30,Czech Republic,Mirotice,Alfa Whiskey Victor Yankee Papa India X-ray Sierra Delta Hotel Mike Echo Charlie Tango Lima Kilo,419-6195,"error: invalid date ""08:00""",Turquoise,Aeriela,ACTIVE
31,Peru,Bellavista,November X-ray Alfa Foxtrot Whiskey Hotel Lima Sierra India Uniform Kilo Juliett Echo Mike Charlie Bravo Oscar Papa,376-4868,"error: invalid date ""08:00""",Puce,Sherry,ACTIVE
32,Poland,Rudna Mała,Delta Tango Papa Romeo Alfa Hotel Charlie Foxtrot November Mike X-ray Echo Lima Juliett Zulu Quebec Whiskey,660-5948,"error: invalid date ""08:00""",Green,Kathrine,ACTIVE
33,Brazil,Rio Largo,Romeo Papa Yankee Delta Alfa Uniform Echo Sierra Tango Lima Mike Oscar Bravo X-ray Juliett Victor,533-9748,"error: invalid date ""08:00""",Red,Mil,ACTIVE
34,Czech Republic,Žandov,Hotel Quebec Zulu Oscar Tango Romeo Kilo Yankee Whiskey Foxtrot Victor Echo India Alfa X-ray Golf Uniform,624-8988,"error: invalid date ""08:00""",Red,Flora,ACTIVE
35,Brazil,Itaguaçu,Mike Golf Foxtrot Oscar Tango Juliett Zulu Bravo Victor Kilo Echo Charlie November Yankee Lima,727-3286,"error: invalid date ""08:00""",Red,Renelle,ACTIVE
36,Armenia,Jrashen,X-ray India Quebec Kilo Lima Whiskey Victor Bravo Oscar Tango Zulu Hotel Foxtrot Yankee,083-7795,"error: invalid date ""08:00""",Turquoise,Cris,ACTIVE
37,Philippines,San Antonio,Juliett Tango November Bravo Lima Echo Oscar Golf Papa Delta Mike Foxtrot Alfa Victor Whiskey,535-0077,"error: invalid date ""08:00""",Aquamarine,Reyna,ACTIVE
38,China,Cheban,Echo Tango Juliett X-ray Lima Yankee Mike Whiskey Hotel Victor Golf Kilo,700-4038,"error: invalid date ""08:00""",Puce,Galina,ACTIVE
39,Nigeria,Gembu,Sierra India Alfa Charlie X-ray Foxtrot Papa Quebec Oscar Kilo Lima Yankee,482-8130,"error: invalid date ""08:00""",Violet,Hayley,ACTIVE
40,Lesotho,Butha-Buthe,Foxtrot Romeo Mike Echo Bravo Juliett Charlie Quebec Papa Delta November Oscar Lima Uniform Alfa Tango Zulu Hotel Whiskey Sierra,771-2373,"error: invalid date ""08:00""",Violet,Alexi,ACTIVE
41,China,Qijiawan,November Romeo Lima Yankee Quebec Alfa Sierra Papa Tango X-ray,342-0503,"error: invalid date ""08:00""",Green,Fara,ACTIVE
42,Philippines,Baquero Norte,India Kilo Papa Bravo Charlie Zulu Quebec Whiskey Hotel Foxtrot Sierra Mike Yankee Lima Uniform X-ray Juliett Romeo,392-5394,"error: invalid date ""08:00""",Khaki,Anissa,ACTIVE
43,Indonesia,Kandang Timur,Yankee November Papa Bravo Romeo Zulu X-ray India Golf Oscar Victor Tango Mike Quebec Whiskey Delta Foxtrot,517-6471,"error: invalid date ""08:00""",Crimson,Tommi,ACTIVE
44,Ukraine,Manyava,Delta Oscar Victor Papa Foxtrot Lima Alfa Mike Juliett Charlie Tango Hotel Kilo X-ray Zulu November,795-5433,"error: invalid date ""08:00""",Teal,Kynthia,ACTIVE
45,Uzbekistan,Bulung’ur,Foxtrot Hotel Kilo Delta Oscar Uniform Charlie Zulu Bravo Echo November Papa Yankee Sierra,953-7292,"error: invalid date ""08:00""",Teal,Sayre,ACTIVE
46,Poland,Żarki-Letnisko,Lima November Mike Oscar Tango Bravo Zulu Papa Sierra Charlie Yankee Romeo India Kilo Victor Uniform Delta X-ray Golf,476-3377,"error: invalid date ""08:00""",Aquamarine,Martynne,ACTIVE
47,South Africa,Port Saint John’s,Quebec Oscar Tango X-ray Hotel India November Juliett Whiskey Kilo,458-0073,"error: invalid date ""08:00""",Mauv,Candie,ACTIVE
48,Costa Rica,Paraíso,India X-ray Papa Echo November Romeo Oscar Alfa Delta Hotel Bravo Quebec Lima Charlie Sierra,028-5762,"error: invalid date ""08:00""",Goldenrod,Madlen,ACTIVE
49,Indonesia,Atap,Delta Tango Sierra Bravo Lima X-ray Kilo Golf Foxtrot Oscar Hotel Romeo Zulu Charlie Uniform November India,447-0191,"error: invalid date ""08:00""",Pink,Max,ACTIVE
50,Vietnam,Lũng Hồ,Papa Lima Tango Delta Alfa Foxtrot Yankee India Victor Zulu X-ray Uniform Bravo Quebec Mike Juliett,475-0245,"error: invalid date ""08:00""",Yellow,Carine,ACTIVE
51,Indonesia,Banjar Bucu,Lima Alfa Bravo Mike X-ray Charlie Hotel Romeo November Sierra India Oscar Echo Zulu Golf Delta Papa Tango Juliett,423-2827,"error: invalid date ""08:00""",Mauv,Kaile,ACTIVE
52,China,E’erdun Wula,Juliett Uniform Victor Hotel November Tango Romeo Mike Kilo Delta,687-1497,"error: invalid date ""08:00""",Goldenrod,Lonnie,ACTIVE
53,Philippines,Santa Catalina,Echo Juliett Tango Lima India Alfa Hotel Yankee Sierra Mike Zulu Kilo Uniform Foxtrot Romeo Papa Delta Bravo Oscar Quebec,129-2795,"error: invalid date ""08:00""",Indigo,Ferdinande,ACTIVE
54,Philippines,Curry,Hotel Kilo Tango Papa November Yankee Oscar Mike Lima X-ray Romeo,837-9521,"error: invalid date ""08:00""",Green,Bryana,ACTIVE
55,Indonesia,Panoongan,Delta Echo Foxtrot Golf Kilo Oscar November Tango Juliett X-ray Charlie Hotel Sierra Quebec Romeo Victor Yankee India,192-7041,"error: invalid date ""08:00""",Orange,Catlin,ACTIVE
56,Philippines,Malabor,Zulu Charlie Hotel November Kilo Alfa India Papa Oscar Bravo Tango,755-3614,"error: invalid date ""08:00""",Indigo,Vicky,ACTIVE
57,Germany,Hanau,Tango Papa Yankee Hotel India Delta Charlie Romeo Kilo November,987-7934,"error: invalid date ""08:00""",Yellow,Nonnah,ACTIVE
58,Netherlands,Enschede,Zulu Delta November India Kilo X-ray Alfa Whiskey Foxtrot Hotel Echo Romeo Sierra Oscar Charlie Golf Lima Victor,994-4847,"error: invalid date ""08:00""",Turquoise,Juli,ACTIVE
59,Poland,Puszczykowo,November Tango Juliett Charlie Romeo Delta X-ray Victor Kilo Golf Zulu Hotel,820-0321,"error: invalid date ""08:00""",Yellow,Ernestine,ACTIVE
60,Brazil,Águas Belas,Victor X-ray Papa Hotel India Bravo Charlie Uniform Lima Quebec Sierra Alfa Oscar Romeo Delta Juliett Tango Mike,004-2404,"error: invalid date ""08:00""",Indigo,Candide,ACTIVE
61,Brazil,Bela Vista do Paraíso,Sierra Whiskey Mike November Juliett Lima Bravo Oscar Alfa Hotel India Tango X-ray,617-2038,"error: invalid date ""08:00""",Khaki,Fallon,ACTIVE
62,Czech Republic,Planá,Whiskey X-ray Echo November Papa Yankee Romeo Quebec Sierra Zulu Alfa,476-3582,"error: invalid date ""08:00""",Green,Eloise,ACTIVE
63,Indonesia,Jubung,Romeo Mike Zulu Yankee Bravo Charlie Golf Uniform Lima Hotel Quebec Whiskey Echo Juliett Tango Oscar,503-1257,"error: invalid date ""08:00""",Turquoise,Emilia,ACTIVE
64,United States,Bryan,November Tango Charlie Uniform Oscar Yankee Sierra Romeo Kilo Bravo Whiskey Juliett Delta Lima Zulu,782-2909,"error: invalid date ""08:00""",Turquoise,Donni,ACTIVE
65,Indonesia,Waimangura,Mike Oscar Alfa Foxtrot Charlie Bravo Kilo Zulu Yankee Uniform Tango Sierra Juliett Delta X-ray Romeo Quebec Echo,094-0633,"error: invalid date ""08:00""",Aquamarine,Portia,ACTIVE
66,Philippines,Lalagsan,Lima India Whiskey Victor X-ray Uniform Foxtrot Sierra Quebec Golf November Zulu Oscar Charlie Tango Yankee Romeo Hotel Delta,886-4391,"error: invalid date ""08:00""",Yellow,Billie,ACTIVE
67,China,Changfeng,Papa November Hotel Uniform Quebec Sierra Alfa Whiskey X-ray Delta Echo Yankee Juliett,321-0703,"error: invalid date ""08:00""",Indigo,Hertha,ACTIVE
68,Brazil,Votuporanga,Golf Mike Yankee Kilo Whiskey Romeo Delta Victor Zulu X-ray Hotel Alfa Uniform Foxtrot Charlie Tango Lima India Oscar November,579-0328,"error: invalid date ""08:00""",Mauv,Jodi,ACTIVE
69,Ukraine,Horodne,Golf Oscar India November Whiskey Victor Kilo Bravo Charlie Delta Juliett,318-1478,"error: invalid date ""08:00""",Blue,Ailey,ACTIVE
70,Japan,Tokoname,X-ray Hotel Zulu Whiskey Golf Juliett Charlie Delta Lima Oscar Victor Tango,541-5823,"error: invalid date ""08:00""",Violet,Sophi,ACTIVE
71,Russia,Ufimskiy,Sierra Tango Delta Zulu Whiskey Yankee India Uniform Romeo Charlie Mike,131-9804,"error: invalid date ""08:00""",Goldenrod,Jaquenette,ACTIVE
72,Peru,Sangallaya,Yankee Victor Whiskey November Quebec Lima Zulu Kilo Foxtrot Golf Bravo Juliett Uniform,753-8925,"error: invalid date ""08:00""",Khaki,Orsa,ACTIVE
73,Philippines,Tanudan,Lima Oscar Delta Foxtrot Romeo Bravo Zulu Tango Papa Juliett Quebec Sierra Hotel,634-0235,"error: invalid date ""08:00""",Teal,Fiona,ACTIVE
74,Sweden,Västerås,Kilo Romeo Tango Golf India Hotel Papa Delta Bravo Lima X-ray,671-3840,"error: invalid date ""08:00""",Teal,Beverlee,ACTIVE
75,Vietnam,Tô Hạp,Yankee Uniform Hotel November Oscar Tango X-ray Charlie Mike Romeo Victor Sierra Juliett Bravo,809-3698,"error: invalid date ""08:00""",Aquamarine,Jania,ACTIVE
76,Indonesia,Kaca,Foxtrot Lima Kilo Golf Delta Alfa Sierra Uniform Mike Oscar Yankee Romeo Echo,172-7892,"error: invalid date ""08:00""",Blue,Adelind,ACTIVE
77,France,Marseille,Hotel Foxtrot X-ray Sierra Victor Oscar Bravo November Tango Juliett Alfa,652-4580,"error: invalid date ""08:00""",Blue,Kym,ACTIVE
78,Sudan,El Fasher,Victor Sierra Yankee X-ray Romeo Oscar Lima Delta Zulu Kilo Papa Golf,303-1903,"error: invalid date ""08:00""",Maroon,Sibeal,ACTIVE
79,Albania,Zall-Herr,Golf Romeo Delta Echo India Mike Bravo November Foxtrot Charlie Alfa Lima Hotel Kilo Yankee Victor Whiskey Papa X-ray Sierra,988-2730,"error: invalid date ""08:00""",Khaki,Sal,ACTIVE
80,Portugal,Paços,Tango Bravo Delta Hotel India Oscar Sierra Quebec Charlie Foxtrot Juliett Alfa November Kilo Golf Whiskey Echo Uniform,399-9054,"error: invalid date ""08:00""",Yellow,Joly,ACTIVE
81,Mauritania,Aleg,Lima Romeo Zulu Foxtrot Charlie Juliett Quebec November Bravo Tango Whiskey Hotel Uniform Oscar Delta Echo India Alfa,600-1636,"error: invalid date ""08:00""",Blue,Carmelita,ACTIVE
82,Portugal,Carvalhal Redondo,Quebec Alfa Victor X-ray India Tango Juliett Romeo Echo Foxtrot Oscar Golf Lima Delta,947-8346,"error: invalid date ""08:00""",Blue,Astra,ACTIVE
83,Mongolia,Bürenhayrhan,Uniform Whiskey Mike Zulu Delta Kilo Papa Victor Sierra Golf Bravo,329-1417,"error: invalid date ""08:00""",Orange,Ingaberg,ACTIVE
84,China,Meilisi,November Whiskey Victor Hotel Uniform Kilo Juliett Sierra X-ray Mike Bravo Echo Delta Alfa Yankee Charlie Lima,989-9074,"error: invalid date ""08:00""",Crimson,Cami,ACTIVE
85,China,Haoyi,Romeo Foxtrot Hotel Tango Quebec Bravo Lima Echo Papa November Yankee Golf Oscar Alfa Mike Charlie India,620-3493,"error: invalid date ""08:00""",Fuscia,Norene,ACTIVE
86,Indonesia,Tenjolaya,Romeo India Hotel Golf Lima Charlie Bravo Victor Oscar Juliett Mike Sierra,957-1916,"error: invalid date ""08:00""",Fuscia,Ashley,ACTIVE
87,Philippines,Candating,Charlie Victor Papa Mike Echo Romeo Oscar Delta Whiskey Yankee,829-3369,"error: invalid date ""08:00""",Indigo,Tiphanie,ACTIVE
88,Portugal,Ifanes,Juliett Charlie Tango Kilo Quebec Victor Uniform India Yankee Romeo Oscar Bravo Papa,402-5033,"error: invalid date ""08:00""",Puce,Kay,ACTIVE
89,Indonesia,Kuniran,X-ray Hotel Tango Juliett Alfa Quebec Oscar Golf Papa Uniform Foxtrot Zulu India Sierra Echo,960-9071,"error: invalid date ""08:00""",Indigo,Daffi,ACTIVE
90,Argentina,Alejo Ledesma,Oscar India November Tango Whiskey Foxtrot Yankee Kilo Charlie Quebec Echo,351-1677,"error: invalid date ""08:00""",Khaki,Liuka,ACTIVE
91,Mexico,El Zapote,Alfa Uniform India Foxtrot Kilo Lima Oscar Hotel Mike X-ray Whiskey,039-6895,"error: invalid date ""08:00""",Puce,Caitlin,ACTIVE
92,Cameroon,Foumbot,Hotel November Uniform India Mike Bravo Romeo Foxtrot X-ray Alfa Lima Tango Kilo Sierra Oscar Yankee Golf Echo Delta Whiskey,188-2781,"error: invalid date ""08:00""",Blue,Adore,ACTIVE
93,Venezuela,San Juan de Manapiare,Whiskey Kilo Romeo Hotel Tango Sierra Charlie Uniform India November Golf Oscar Juliett Zulu Papa Yankee Lima Foxtrot X-ray,172-9589,"error: invalid date ""08:00""",Indigo,Vanessa,ACTIVE
94,Portugal,Gavinhos de Baixo,Lima Alfa Foxtrot November Papa Charlie Quebec X-ray Mike Romeo Echo Juliett Hotel India Tango Kilo,682-2247,"error: invalid date ""08:00""",Crimson,Phillie,ACTIVE
95,Greece,Rizó,Whiskey Delta Papa Kilo Tango Golf Victor Yankee Quebec Sierra November Zulu Lima Charlie Echo,583-7172,"error: invalid date ""08:00""",Aquamarine,Linzy,ACTIVE
96,Micronesia,Ruo,Victor Kilo Mike Foxtrot Golf Papa Uniform Romeo November Bravo India Zulu Charlie Echo Oscar Yankee,088-1351,"error: invalid date ""08:00""",Orange,Celeste,ACTIVE
97,China,Choushui,Lima Victor Juliett Uniform Hotel Papa Sierra Zulu Mike Oscar India Foxtrot X-ray Alfa Charlie Yankee,945-2223,"error: invalid date ""08:00""",Turquoise,Goldie,ACTIVE
98,Brazil,Araguaiana,Quebec India Lima Mike Delta Yankee Whiskey Romeo Kilo Tango Oscar Sierra Bravo Zulu Juliett Victor Papa Hotel,674-4008,"error: invalid date ""08:00""",Blue,Dominique,ACTIVE
99,Japan,Kanaya,Mike Sierra Hotel Alfa Charlie Yankee Uniform Lima Golf November,288-6145,"error: invalid date ""08:00""",Aquamarine,Adara,ACTIVE
100,Samoa,Safotulafai,November Echo Mike Sierra Golf Kilo Papa Hotel Charlie Delta Zulu Oscar X-ray,869-5204,"error: invalid date ""08:00""",Purple,Esther,ACTIVE
101,Cuba,Banes,Golf Mike Papa Hotel Oscar Juliett Charlie X-ray Uniform Delta Whiskey Sierra Zulu Quebec Lima Foxtrot Bravo,713-5678,"error: invalid date ""08:00""",Green,Jenilee,ACTIVE
102,Portugal,Antas,Oscar Tango X-ray November Lima Golf Victor Bravo Echo India Mike Delta Alfa Zulu Hotel,716-6841,"error: invalid date ""08:00""",Indigo,Sarah,ACTIVE
103,Indonesia,Sukakerta,India Yankee Delta Romeo Echo Bravo Mike Sierra Hotel Quebec Tango,810-9767,"error: invalid date ""08:00""",Teal,Georgianne,ACTIVE
104,Brazil,Solânea,Oscar Victor Charlie Foxtrot Bravo Alfa Quebec Whiskey Papa Sierra,281-6058,"error: invalid date ""08:00""",Pink,Ellen,ACTIVE
105,Mexico,San Francisco,Lima Tango Hotel Juliett Foxtrot Quebec Whiskey Golf X-ray Sierra,037-5424,"error: invalid date ""08:00""",Mauv,Ira,ACTIVE
106,Philippines,Baguio,Bravo Lima Foxtrot Tango Zulu Hotel Quebec Whiskey Charlie X-ray,360-4108,"error: invalid date ""08:00""",Yellow,Anna-maria,ACTIVE
107,China,Shitan,Mike India Juliett Golf Romeo Hotel Zulu Alfa Tango X-ray Delta,802-9420,"error: invalid date ""08:00""",Violet,Tanitansy,ACTIVE
108,Brazil,Itatinga,Whiskey Yankee Juliett Uniform Alfa November Kilo Charlie Echo Delta Sierra Papa Bravo Foxtrot X-ray Hotel Oscar Victor Quebec,744-4213,"error: invalid date ""08:00""",Teal,Rozina,ACTIVE
109,China,Lungmar,Mike Uniform Papa Bravo Juliett X-ray Echo Yankee Golf Romeo Whiskey November Charlie,377-0159,"error: invalid date ""08:00""",Blue,Brande,ACTIVE
110,China,Bohou,India Quebec Juliett Echo Yankee Oscar Tango Sierra Victor Golf Uniform Delta November,942-2866,"error: invalid date ""08:00""",Aquamarine,Carolee,ACTIVE
111,France,Marseille,Hotel Zulu Sierra Lima Uniform Whiskey Oscar Papa Quebec Juliett Echo,441-1702,"error: invalid date ""08:00""",Indigo,Leona,ACTIVE
112,Serbia,Belo Blato,Lima Foxtrot Alfa Tango X-ray Juliett Zulu Sierra Victor Delta Quebec Uniform India Yankee Charlie Echo,820-7630,"error: invalid date ""08:00""",Indigo,Tori,ACTIVE
113,Mexico,Vista Hermosa,Sierra Victor Mike Hotel Alfa Charlie Oscar Zulu Juliett Quebec Bravo,323-1788,"error: invalid date ""08:00""",Red,Livvie,ACTIVE
114,Sierra Leone,Potoru,Echo Oscar X-ray Hotel India Alfa Delta Mike Zulu Quebec Tango Bravo November Golf Victor Romeo,998-2450,"error: invalid date ""08:00""",Aquamarine,Leela,ACTIVE
115,Finland,Virolahti,Hotel Juliett Alfa Yankee X-ray Victor Romeo Uniform Kilo Bravo Delta Echo Charlie,794-5108,"error: invalid date ""08:00""",Orange,Queenie,ACTIVE
116,Finland,Ingå,Oscar Uniform Juliett Sierra Foxtrot Papa X-ray Bravo Zulu Delta Mike India,868-5378,"error: invalid date ""08:00""",Pink,Anet,ACTIVE
117,Philippines,Bagong Pagasa,Oscar Zulu Foxtrot Quebec Golf Kilo Sierra Echo Victor Papa,259-7139,"error: invalid date ""08:00""",Pink,Krysta,ACTIVE
118,Japan,Mobara,Uniform Romeo Charlie Bravo Quebec Mike Juliett Victor Whiskey Foxtrot Echo Papa Kilo Alfa November Sierra Tango,430-9959,"error: invalid date ""08:00""",Purple,Elisabetta,ACTIVE
119,Poland,Łopuszna,Zulu Lima Uniform Papa Victor Yankee Charlie Hotel Tango Golf Whiskey Delta India Bravo Oscar Mike November Juliett Sierra,090-0288,"error: invalid date ""08:00""",Purple,Georgeta,ACTIVE
120,Canada,West End,Lima Bravo Tango Whiskey Foxtrot Papa X-ray Delta Charlie Quebec India Uniform Yankee Oscar Kilo Romeo November Echo,892-8023,"error: invalid date ""08:00""",Teal,Marlie,ACTIVE
121,Palau,Koror Town,Foxtrot Zulu Alfa Romeo India X-ray Golf Hotel Victor Uniform November Juliett Sierra,471-9483,"error: invalid date ""08:00""",Teal,Ernaline,ACTIVE
122,Palestinian Territory,Al ‘Awjā,Echo Mike Zulu Charlie Oscar Tango Juliett Lima India Papa,724-0036,"error: invalid date ""08:00""",Orange,Lilllie,ACTIVE
123,Brazil,Duque de Caxias,Juliett Whiskey Oscar Delta Echo Golf Kilo Tango Yankee Uniform Lima November,887-3239,"error: invalid date ""08:00""",Orange,Iormina,ACTIVE
124,Bulgaria,Dulovo,Mike Delta Whiskey Lima Hotel Zulu Papa Golf Quebec X-ray,137-2170,"error: invalid date ""08:00""",Puce,Jennica,ACTIVE
125,Indonesia,Sekarjalak,Whiskey Oscar India Delta Victor Foxtrot Mike Golf Tango November Quebec Sierra,082-7514,"error: invalid date ""08:00""",Turquoise,Amaleta,ACTIVE
126,China,Jiaotang,Lima Romeo X-ray Foxtrot Zulu Alfa Yankee Whiskey November Juliett Delta,897-4392,"error: invalid date ""08:00""",Violet,Valina,ACTIVE
127,Netherlands,Amsterdam Binnenstad en Oostelijk Havengebied,Foxtrot Sierra Victor Papa X-ray Kilo Quebec Romeo Zulu India,761-0252,"error: invalid date ""08:00""",Aquamarine,Marty,ACTIVE
128,Brazil,Blumenau,Yankee Victor Whiskey Lima Tango Mike Echo Papa Hotel Sierra Quebec Foxtrot November Bravo,496-9614,"error: invalid date ""08:00""",Goldenrod,Cordelia,ACTIVE
129,China,Ke’erlun,Alfa X-ray Romeo Hotel Oscar India Echo Yankee Delta Whiskey Sierra Zulu Charlie Golf Papa Foxtrot Quebec,992-7850,"error: invalid date ""08:00""",Orange,Sib,ACTIVE
130,United States,Oklahoma City,Lima Zulu India Sierra Mike Delta Quebec Victor Echo Juliett Whiskey Golf Tango Bravo Alfa,218-3766,"error: invalid date ""08:00""",Teal,Alejandra,ACTIVE
131,Mexico,La Soledad,Echo Golf November India Oscar Mike Victor Whiskey Kilo Sierra,429-7602,"error: invalid date ""08:00""",Purple,Mollee,ACTIVE
132,Canada,Leduc,Foxtrot Yankee Bravo Golf Romeo Sierra Uniform Quebec Delta Hotel Tango Papa Mike Echo Alfa November Lima,207-6896,"error: invalid date ""08:00""",Fuscia,Hedy,ACTIVE
133,China,Huqiu,Tango Lima X-ray Romeo Yankee Hotel Charlie Golf Victor Mike Sierra,294-4639,"error: invalid date ""08:00""",Aquamarine,Kassandra,ACTIVE
134,Japan,Kashima-shi,Kilo Hotel Uniform India November X-ray Sierra Papa Lima Mike Romeo Victor Oscar,505-6727,"error: invalid date ""08:00""",Mauv,Cary,ACTIVE
135,Myanmar,Twante,Bravo Charlie India Kilo Hotel Papa Uniform X-ray Tango Yankee Oscar Golf Alfa Echo Zulu Lima Whiskey November,853-3048,"error: invalid date ""08:00""",Indigo,Vikky,ACTIVE
136,Honduras,El Triunfo,India Mike Yankee Victor Whiskey Sierra Kilo Alfa November X-ray Tango Delta Romeo Echo Juliett Papa Zulu,310-7975,"error: invalid date ""08:00""",Indigo,Tandi,ACTIVE
